,identifier,session_identifier,organization_classification,first_action,primary_sponsor_1_clean,primary_sponsor_2_clean,num_sponsors,became_law,referred_to_committee,committee_passages,passed_first_chamber,passed_full_legislature
22,HB 4964,103rd,lower,2024-02-07,Jennifer Sanalitro,,2,False,True,0,False,False
23,HB 5032,103rd,lower,2024-02-07,Eva Delgado,,2,False,True,0,False,False
24,SB 2713,103rd,upper,2024-01-10,Win Stoller,,1,False,True,0,False,False
25,SB 2734,103rd,upper,2024-01-12,Adriane Johnson,,1,False,True,0,False,False
26,SB 2975,103rd,upper,2024-01-31,Doris Turner,,1,False,True,0,False,False
27,SB 2973,103rd,upper,2024-01-31,Win Stoller,,1,False,True,0,False,False
28,SB 3124,103rd,upper,2024-02-02,Jil Tracy,,1,False,True,0,False,False
29,SB 3575,103rd,upper,2024-02-09,John Curran,,4,False,True,0,False,False
30,HB 3311,103rd,lower,2023-02-17,Joe Sosnowski,Tom Bennett,3,False,True,0,True,False
31,HB 1624,103rd,lower,2023-02-01,Ryan Spain,,2,False,True,0,False,False
32,HB 2314,103rd,lower,2023-02-14,Camille Lilly,,1,False,True,0,False,False
33,HB 2394,103rd,lower,2023-02-14,Bob Morgan,Suzanne Hilton,37,True,True,1,True,True
34,HB 2423,103rd,lower,2023-02-14,Martin Moylan,,1,False,True,0,False,False
35,HB 2553,103rd,lower,2023-02-15,Janet Rohr,,2,False,True,0,False,False
36,SB 2566,103rd,upper,2023-04-20,Elgie Sims Jr,,6,False,False,0,False,False
37,SB 3757,103rd,upper,2024-02-09,Don Harmon,,1,False,True,0,False,False
38,HB 3262,103rd,lower,2023-02-17,Daniel Didech,,2,False,False,0,False,False
39,SB 151,103rd,upper,2023-01-25,Rachel Ventura,,1,False,False,0,False,False
40,SB 145,103rd,upper,2023-01-25,Sally Turner,,1,False,False,0,False,False
41,HB 4233,103rd,lower,2023-11-27,Margaret Croke,,1,False,False,0,False,False
42,HB 4380,103rd,lower,2024-01-08,Jay Hoffman,,1,False,False,0,False,False
43,HB 4355,103rd,lower,2024-01-04,Tom Weber,,1,False,False,0,False,False
44,SB 144,103rd,upper,2023-01-25,Sally Turner,,1,False,False,0,False,False
45,HB 4330,103rd,lower,2024-01-03,John Cabello,,1,False,False,0,False,False
46,HB 4300,103rd,lower,2023-12-21,Paul Jacobs,,1,False,False,0,False,False
47,HB 4341,103rd,lower,2024-01-04,Curtis Tarver II,,1,False,False,0,False,False
48,HB 4268,103rd,lower,2023-12-13,Kim DuBuclet,,1,False,False,0,False,False
49,HB 4463,103rd,lower,2024-01-16,Rita Mayfield,,1,False,True,0,False,False
50,HB 4452,103rd,lower,2024-01-16,Mary Gill,,2,False,False,0,False,False
51,HB 4464,103rd,lower,2024-01-16,Fred Crespo,,3,False,True,0,False,False
52,HB 4151,103rd,lower,2023-09-28,Patrick Windhorst,,8,False,False,0,False,False
53,HB 4468,103rd,lower,2024-01-16,Ann Williams,,1,False,False,0,False,False
54,HB 4465,103rd,lower,2024-01-16,Sonya Harper,,1,False,True,0,False,False
55,HB 4301,103rd,lower,2023-12-21,Paul Jacobs,,1,False,False,0,False,False
56,HB 4395,103rd,lower,2024-01-08,Jay Hoffman,,1,False,False,0,False,False
57,HB 4397,103rd,lower,2024-01-08,Jay Hoffman,,1,False,False,0,False,False
58,SB 777,103rd,upper,2023-02-02,Don Harmon,,1,False,True,0,False,False
59,SB 776,103rd,upper,2023-02-02,Kimberly Lightford,,1,False,True,0,False,False
60,HB 3382,103rd,lower,2023-02-17,Marcus Evans Jr,,2,False,True,0,False,False
61,HB 3567,103rd,lower,2023-02-17,Norma Hernandez,,3,False,False,0,False,False
62,SB 2749,103rd,upper,2024-01-16,Laura Murphy,,2,False,True,0,False,False
63,HB 4152,103rd,lower,2023-09-28,Tony McCombie,,11,False,False,0,False,False
64,SB 2782,103rd,upper,2024-01-17,Rachel Ventura,,1,False,True,0,False,False
65,SB 2647,103rd,upper,2024-01-10,Seth Lewis,,2,False,True,0,False,False
66,SB 2887,103rd,upper,2024-01-24,Jason Plummer,,1,False,True,0,False,False
67,SB 3317,103rd,upper,2024-02-07,Napoleon Harris,,1,False,True,0,False,False
68,SB 3528,103rd,upper,2024-02-09,Natalie Toro,,1,False,True,0,False,False
69,HB 1192,103rd,lower,2023-01-17,Bob Morgan,,2,False,False,0,False,False
70,HB 2087,103rd,lower,2023-02-02,Anthony DeLuca,,17,False,True,0,False,False
71,HB 3732,103rd,lower,2023-02-17,Patrick Windhorst,,2,False,False,0,False,False
72,SB 3918,103rd,upper,2024-03-20,Elgie Sims Jr,,1,False,False,0,False,False
73,SB 2669,103rd,upper,2024-01-10,Jil Tracy,,1,False,True,0,False,False
74,SB 2700,103rd,upper,2024-01-10,Julie Morrison,,3,False,True,0,False,False
75,SB 2754,103rd,upper,2024-01-16,Donald DeWitte,,1,False,True,0,False,False
76,HB 3999,103rd,lower,2023-02-27,La Ford,,1,False,False,0,False,False
77,HB 4002,103rd,lower,2023-02-27,David Vella,,1,False,False,0,False,False
78,HB 4003,103rd,lower,2023-02-27,La Ford,,1,False,False,0,False,False
79,HB 3998,103rd,lower,2023-02-27,Jehan Booth,,1,False,False,0,False,False
80,SB 2941,103rd,upper,2024-01-31,Win Stoller,,1,False,False,0,False,False
81,SB 2954,103rd,upper,2024-01-31,Neil Anderson,,1,False,True,0,False,False
82,SB 2969,103rd,upper,2024-01-31,Jil Tracy,,1,False,False,0,False,False
83,SB 2949,103rd,upper,2024-01-31,Jil Tracy,,1,False,False,0,False,False
84,SB 2981,103rd,upper,2024-01-31,Neil Anderson,,1,False,False,0,False,False
85,SB 2952,103rd,upper,2024-01-31,Dale Fowler,,1,False,False,0,False,False
86,SB 2673,103rd,upper,2024-01-10,Laura Murphy,,2,False,True,0,False,False
87,SB 2965,103rd,upper,2024-01-31,Tom Bennett,,1,False,False,0,False,False
88,SB 2958,103rd,upper,2024-01-31,Tom Bennett,,1,False,False,0,False,False
89,HB 1636,103rd,lower,2023-02-01,Mark Walker,Meg Cappel,2,False,True,1,True,False
90,HB 1864,103rd,lower,2023-02-01,Tony McCombie,,1,False,True,0,False,False
91,HB 2225,103rd,lower,2023-02-08,Marcus Evans Jr,,1,False,True,0,False,False
92,HB 2110,103rd,lower,2023-02-03,Camille Lilly,,1,False,False,0,False,False
93,HB 1814,103rd,lower,2023-02-01,Tony McCombie,,1,False,True,0,False,False
94,HB 2388,103rd,lower,2023-02-14,Lindsey LaPointe,,1,False,True,0,False,False
95,HB 2206,103rd,lower,2023-02-07,Martin Moylan,,1,False,False,0,False,False
96,HB 2407,103rd,lower,2023-02-14,Daniel Didech,,1,False,False,0,False,False
97,HB 2478,103rd,lower,2023-02-15,Anna Moeller,,10,False,True,0,False,False
98,HB 2629,103rd,lower,2023-02-15,Nabeela Syed,,2,False,False,0,False,False
99,HB 2599,103rd,lower,2023-02-15,Adam Niemerg,,6,False,False,0,False,False
100,HB 4127,103rd,lower,2023-08-22,Jackie Haas,Robert Peters,6,False,True,0,True,False
101,HB 5924,103rd,lower,2024-12-31,Dan Ugaste,,36,False,False,0,False,False
102,HB 1943,103rd,lower,2023-02-01,Tony McCombie,,1,False,True,0,False,False
103,HB 2364,103rd,lower,2023-02-14,Nicholas Smith,,1,False,False,0,False,False
104,HB 2122,103rd,lower,2023-02-03,Michael Kelly,,1,False,False,0,False,False
105,HB 2725,103rd,lower,2023-02-15,Lance Yednock,,1,False,False,0,False,False
106,HB 2078,103rd,lower,2023-02-02,Laura Dias,,2,False,True,0,False,False
107,HB 2555,103rd,lower,2023-02-15,Suzanne Ness,,1,False,False,0,False,False
108,HB 2524,103rd,lower,2023-02-15,Sonya Harper,,1,False,True,0,False,False
109,HB 2787,103rd,lower,2023-02-16,Ann Williams,,5,False,True,0,False,False
110,HB 2642,103rd,lower,2023-02-15,Jehan Booth,,1,False,False,0,False,False
111,HB 2794,103rd,lower,2023-02-16,Gregg Johnson,,1,False,True,0,False,False
112,HB 2832,103rd,lower,2023-02-16,Nabeela Syed,,1,False,True,0,False,False
113,SB 2162,103rd,upper,2023-02-10,Doris Turner,,1,False,True,0,False,False
114,SB 2131,103rd,upper,2023-02-10,Doris Turner,,1,False,True,0,False,False
115,HB 1179,103rd,lower,2023-01-17,Marcus Evans Jr,,1,False,False,0,False,False
116,HB 1173,103rd,lower,2023-01-17,Lawrence Walsh Jr,,1,False,False,0,False,False
117,SB 2267,103rd,upper,2023-02-10,Steve Stadelman,,2,False,True,0,False,False
118,SB 2305,103rd,upper,2023-02-10,Julie Morrison,,1,False,True,0,False,False
119,SB 1972,103rd,upper,2023-02-09,Jason Plummer,,1,False,False,0,False,False
120,SB 1955,103rd,upper,2023-02-09,Mattie Hunter,,1,False,False,0,False,False
121,SB 1946,103rd,upper,2023-02-09,Robert Peters,,5,False,False,0,False,False
122,SB 1952,103rd,upper,2023-02-09,Robert Martwick,,1,False,False,0,False,False
123,SB 1958,103rd,upper,2023-02-09,John Curran,,2,False,False,0,False,False
124,SB 1971,103rd,upper,2023-02-09,Steve McClure,,1,False,False,0,False,False
125,HB 1518,103rd,lower,2023-01-27,Curtis Tarver II,,1,False,False,0,False,False
126,HB 1517,103rd,lower,2023-01-27,Anna Moeller,,1,False,False,0,False,False
127,HB 1047,103rd,lower,2022-12-19,Mary Flowers,,1,False,False,0,False,False
128,HB 1774,103rd,lower,2023-02-01,Tony McCombie,,1,False,True,0,False,False
129,HB 1574,103rd,lower,2023-01-30,Adam Niemerg,,2,False,False,0,False,False
130,SB 2343,103rd,upper,2023-02-10,Sara Feigenholtz,,1,False,True,0,False,False
131,HB 1116,103rd,lower,2023-01-09,Anthony DeLuca,,25,False,False,0,False,False
132,HB 1286,103rd,lower,2023-01-19,Celina Villanueva,Katie Stuart,46,True,True,0,True,True
133,SB 2001,103rd,upper,2023-02-09,Cristina Castro,,1,False,False,0,False,False
134,SB 2370,103rd,upper,2023-02-10,Cristina Castro,,1,False,True,0,False,False
135,SB 2361,103rd,upper,2023-02-10,Rachel Ventura,,1,False,True,0,False,False
136,SB 2000,103rd,upper,2023-02-09,Cristina Castro,,1,False,True,0,False,False
137,HB 1850,103rd,lower,2023-02-01,Tony McCombie,,1,False,True,0,False,False
138,HB 1096,103rd,lower,2023-01-04,Mary Flowers,,1,False,False,0,False,False
139,HB 2146,103rd,lower,2023-02-06,Anna Moeller,,2,False,True,0,False,False
140,HB 2137,103rd,lower,2023-02-06,Justin Slaughter,,1,False,False,0,False,False
141,HB 1146,103rd,lower,2023-01-12,Charles Meier,,2,False,True,0,False,False
142,HB 1644,103rd,lower,2023-02-01,Blaine Wilhour,,2,False,False,0,False,False
143,HB 1282,103rd,lower,2023-01-19,Daniel Didech,,3,False,True,0,False,False
144,SB 2366,103rd,upper,2023-02-10,Robert Martwick,,1,False,True,0,False,False
145,HB 15,103rd,lower,2022-12-05,La Ford,,1,False,False,0,False,False
146,SB 1573,103rd,upper,2023-02-08,Craig Wilcox,,1,False,False,0,False,False
147,SB 1662,103rd,upper,2023-02-08,Andrew Chesney,,1,False,False,0,False,False
148,SB 1677,103rd,upper,2023-02-08,Bill Cunningham,,1,False,False,0,False,False
149,SB 1761,103rd,upper,2023-02-09,Seth Lewis,,1,False,False,0,False,False
150,SB 2033,103rd,upper,2023-02-09,Karina Villa,,1,False,False,0,False,False
151,SB 1572,103rd,upper,2023-02-08,Dale Fowler,,1,False,False,0,False,False
152,HB 51,103rd,lower,2022-12-05,Emanuel Welch,,1,False,True,0,False,False
153,SB 1698,103rd,upper,2023-02-08,Dale Fowler,,1,False,False,0,False,False
154,SB 2055,103rd,upper,2023-02-09,Ram Villivalam,,1,False,False,0,False,False
155,HB 141,103rd,lower,2022-12-05,Emanuel Welch,,1,False,True,0,False,False
156,HB 31,103rd,lower,2022-12-05,La Ford,,1,False,True,0,False,False
157,HB 251,103rd,lower,2022-12-05,Emanuel Welch,,1,False,True,0,False,False
158,HB 76,103rd,lower,2022-12-05,Emanuel Welch,,1,False,True,0,False,False
159,HB 65,103rd,lower,2022-12-05,Emanuel Welch,,1,False,True,0,False,False
160,HB 69,103rd,lower,2022-12-05,Emanuel Welch,,1,False,True,0,False,False
161,HB 574,103rd,lower,2022-12-05,Emanuel Welch,,1,False,True,0,False,False
162,HB 550,103rd,lower,2022-12-05,Emanuel Welch,,1,False,True,0,False,False
163,HB 342,103rd,lower,2022-12-05,Carol Ammons,Kimberly Lightford,12,True,True,1,True,True
164,SB 2062,103rd,upper,2023-02-09,Celina Villanueva,,1,False,False,0,False,False
165,SB 1531,103rd,upper,2023-02-08,Dale Fowler,,1,False,False,0,False,False
166,HB 383,103rd,lower,2022-12-05,Emanuel Welch,,1,False,True,0,False,False
167,HB 572,103rd,lower,2022-12-05,Emanuel Welch,,1,False,True,0,False,False
168,SB 1820,103rd,upper,2023-02-09,Tom Bennett,,1,False,False,0,False,False
169,SB 1851,103rd,upper,2023-02-09,Elgie Sims Jr,,1,False,False,0,False,False
170,SB 2070,103rd,upper,2023-02-09,Celina Villanueva,,1,False,False,0,False,False
171,HB 526,103rd,lower,2022-12-05,Emanuel Welch,,1,False,True,0,False,False
172,HB 598,103rd,lower,2022-12-05,Emanuel Welch,,1,False,True,0,False,False
173,HB 1140,103rd,lower,2023-01-12,Blaine Wilhour,,2,False,False,0,False,False
174,HB 453,103rd,lower,2022-12-05,Emanuel Welch,,1,False,True,0,False,False
175,HB 689,103rd,lower,2022-12-06,Emanuel Welch,,1,False,True,0,False,False
176,HB 496,103rd,lower,2022-12-05,Emanuel Welch,,1,False,True,0,False,False
177,HB 775,103rd,lower,2022-12-06,Emanuel Welch,,1,False,True,0,False,False
178,HB 983,103rd,lower,2022-12-06,Emanuel Welch,,1,False,True,0,False,False
179,HB 1228,103rd,lower,2023-01-18,Thaddeus Jones,,1,False,False,0,False,False
180,HB 890,103rd,lower,2022-12-06,Don Harmon,Robert Rita,2,False,True,1,True,False
181,HB 935,103rd,lower,2022-12-06,Emanuel Welch,,1,False,True,0,False,False
182,HB 645,103rd,lower,2022-12-05,Emanuel Welch,,1,False,True,0,False,False
183,HB 1180,103rd,lower,2023-01-17,Marcus Evans Jr,,1,False,False,0,False,False
184,HB 565,103rd,lower,2022-12-05,Emanuel Welch,,1,False,True,0,False,False
185,HB 557,103rd,lower,2022-12-05,Emanuel Welch,,1,False,True,0,False,False
186,HB 836,103rd,lower,2022-12-06,Emanuel Welch,,1,False,True,0,False,False
187,HB 1733,103rd,lower,2023-02-01,Tony McCombie,,1,False,True,0,False,False
188,HB 1207,103rd,lower,2023-01-17,Jonathan Carroll,,3,False,False,0,False,False
189,HB 1212,103rd,lower,2023-01-17,Kam Buckner,,1,False,False,0,False,False
190,HB 125,103rd,lower,2022-12-05,Emanuel Welch,,1,False,True,0,False,False
191,HB 1082,103rd,lower,2023-01-04,Mary Flowers,,1,False,True,0,False,False
192,HB 938,103rd,lower,2022-12-06,Emanuel Welch,,1,False,True,0,False,False
193,HB 1410,103rd,lower,2023-01-25,David Vella,,2,False,True,0,False,False
194,HB 1050,103rd,lower,2022-12-20,Natalie Manley,,1,False,False,0,False,False
195,HB 1177,103rd,lower,2023-01-17,Lawrence Walsh Jr,,1,False,False,0,False,False
196,HB 1040,103rd,lower,2022-12-19,Mary Flowers,,1,False,False,0,False,False
197,HB 900,103rd,lower,2022-12-06,Emanuel Welch,,1,False,True,0,False,False
198,HB 1508,103rd,lower,2023-01-26,Edgar Gonzalez Jr,,1,False,False,0,False,False
199,HB 1088,103rd,lower,2023-01-04,Mary Flowers,,1,False,False,0,False,False
200,HB 1269,103rd,lower,2023-01-19,John Cabello,,1,False,True,0,False,False
201,SB 1828,103rd,upper,2023-02-09,Julie Morrison,,1,False,False,0,False,False
202,SB 1856,103rd,upper,2023-02-09,Elgie Sims Jr,,1,False,False,0,False,False
203,SB 2094,103rd,upper,2023-02-09,Doris Turner,,1,False,False,0,False,False
204,SB 2114,103rd,upper,2023-02-09,Neil Anderson,,1,False,False,0,False,False
205,HB 2062,103rd,lower,2023-02-02,La Ford,,1,False,False,0,False,False
206,SB 2066,103rd,upper,2023-02-09,Celina Villanueva,,1,False,False,0,False,False
207,HB 2327,103rd,lower,2023-02-14,Edgar Gonzalez Jr,,1,False,False,0,False,False
208,HB 1382,103rd,lower,2023-01-24,Kam Buckner,,2,False,True,0,False,False
209,HB 2040,103rd,lower,2023-02-01,Adriane Johnson,Curtis Tarver II,7,True,True,1,True,True
210,HB 2059,103rd,lower,2023-02-02,Daniel Didech,,1,False,False,0,False,False
211,HB 2071,103rd,lower,2023-02-02,Jennifer Gershowitz,,5,False,True,0,False,False
212,HB 2111,103rd,lower,2023-02-03,Camille Lilly,,1,False,False,0,False,False
213,SB 2046,103rd,upper,2023-02-09,Craig Wilcox,,1,False,False,0,False,False
214,HB 1337,103rd,lower,2023-01-23,Jay Hoffman,,1,False,False,0,False,False
215,SB 2065,103rd,upper,2023-02-09,Chapin Rose,,1,False,False,0,False,False
216,HB 2105,103rd,lower,2023-02-03,Daniel Didech,,1,False,False,0,False,False
217,HB 2114,103rd,lower,2023-02-03,Camille Lilly,,1,False,False,0,False,False
218,HB 2117,103rd,lower,2023-02-03,Camille Lilly,,1,False,False,0,False,False
219,HB 1037,103rd,lower,2022-12-19,Mary Flowers,,1,False,False,0,False,False
220,HB 1263,103rd,lower,2023-01-19,Jeff Keicher,,2,False,True,0,False,False
221,HB 1221,103rd,lower,2023-01-17,Amy Grant,,1,False,False,0,False,False
222,HB 1520,103rd,lower,2023-01-27,Edgar Gonzalez Jr,,1,False,False,0,False,False
223,HB 2349,103rd,lower,2023-02-14,Kelly Cassidy,,2,False,True,0,False,False
224,HB 2125,103rd,lower,2023-02-03,Blaine Wilhour,,3,False,False,0,False,False
225,HB 2414,103rd,lower,2023-02-14,John Cabello,,2,False,False,0,False,False
226,SB 2060,103rd,upper,2023-02-09,Chapin Rose,,1,False,False,0,False,False
227,SB 1939,103rd,upper,2023-02-09,Dan McConchie,,1,False,False,0,False,False
228,HB 2409,103rd,lower,2023-02-14,Daniel Didech,,1,False,False,0,False,False
229,HB 2000,103rd,lower,2023-02-01,Tony McCombie,,1,False,True,0,False,False
230,HB 1584,103rd,lower,2023-01-30,Kelly Burke,,1,False,False,0,False,False
231,HB 2416,103rd,lower,2023-02-14,Mike Marron,,1,False,False,0,False,False
232,HB 2446,103rd,lower,2023-02-14,Nabeela Syed,,19,False,True,0,False,False
233,HB 2141,103rd,lower,2023-02-06,Justin Slaughter,,1,False,False,0,False,False
234,HB 2578,103rd,lower,2023-02-15,John Cabello,,24,False,True,0,False,False
235,HB 2522,103rd,lower,2023-02-15,Sonya Harper,,1,False,True,0,False,False
236,HB 2285,103rd,lower,2023-02-10,Adriane Johnson,Lakesia Collins,2,True,True,1,True,True
237,HB 2139,103rd,lower,2023-02-06,Justin Slaughter,,1,False,False,0,False,False
238,HB 1438,103rd,lower,2023-01-25,Maurice West II,,4,False,True,0,False,False
239,HB 1100,103rd,lower,2023-01-04,Mary Flowers,,1,False,False,0,False,False
240,HB 1010,103rd,lower,2022-12-19,Mary Flowers,,1,False,True,0,False,False
241,HB 1283,103rd,lower,2023-01-19,Anna Moeller,Cristina Castro,13,True,True,1,True,True
242,HB 1338,103rd,lower,2023-01-23,Jay Hoffman,,1,False,False,0,False,False
243,HB 1026,103rd,lower,2022-12-19,Mary Flowers,,1,False,False,0,False,False
244,HB 1395,103rd,lower,2023-01-24,Curtis Tarver II,,1,False,False,0,False,False
245,HB 2508,103rd,lower,2023-02-15,Michelle Mussman,,1,False,True,0,False,False
246,HB 1296,103rd,lower,2023-01-20,Marcus Evans Jr,,1,False,False,0,False,False
247,HB 1402,103rd,lower,2023-01-25,Marcus Evans Jr,,1,False,False,0,False,False
248,HB 1118,103rd,lower,2023-01-10,Will Guzzardi,,1,False,False,0,False,False
249,HB 1421,103rd,lower,2023-01-25,John Cabello,,1,False,False,0,False,False
250,HB 1285,103rd,lower,2023-01-19,Lawrence Walsh Jr,,1,False,False,0,False,False
251,HB 1443,103rd,lower,2023-01-25,Marcus Evans Jr,,1,False,False,0,False,False
252,HB 1205,103rd,lower,2023-01-17,Curtis Tarver II,,1,False,True,0,False,False
253,HB 1119,103rd,lower,2023-01-10,Don Harmon,Will Guzzardi,11,True,True,1,True,True
254,HB 1417,103rd,lower,2023-01-25,John Cabello,,1,False,False,0,False,False
255,HB 720,103rd,lower,2022-12-06,Emanuel Welch,,1,False,True,0,False,False
256,HB 732,103rd,lower,2022-12-06,Emanuel Welch,,1,False,True,0,False,False
257,HB 710,103rd,lower,2022-12-06,Emanuel Welch,,1,False,True,0,False,False
258,HB 1694,103rd,lower,2023-02-01,Tony McCombie,,1,False,True,0,False,False
259,HB 1500,103rd,lower,2023-01-26,La Ford,,1,False,True,0,False,False
260,HB 3681,103rd,lower,2023-02-17,Harry Benton,,14,False,True,0,False,False
261,HB 683,103rd,lower,2022-12-06,Emanuel Welch,,1,False,True,0,False,False
262,HB 1454,103rd,lower,2023-01-26,Patrick Windhorst,,1,False,False,0,False,False
263,HB 1406,103rd,lower,2023-01-25,Camille Lilly,,1,False,False,0,False,False
264,HB 1564,103rd,lower,2023-01-30,Dave Severin,,17,False,True,0,False,False
265,HB 873,103rd,lower,2022-12-06,Emanuel Welch,,1,False,True,0,False,False
266,HB 1620,103rd,lower,2023-02-01,Katie Stuart,,1,False,False,0,False,False
267,HB 1428,103rd,lower,2023-01-25,Joe Sosnowski,,1,False,False,0,False,False
268,HB 926,103rd,lower,2022-12-06,Emanuel Welch,,1,False,True,0,False,False
269,HB 1637,103rd,lower,2023-02-01,Eva Delgado,,1,False,False,0,False,False
270,HB 1657,103rd,lower,2023-02-01,Tony McCombie,,1,False,True,0,False,False
271,HB 1507,103rd,lower,2023-01-26,Kelly Cassidy,,1,False,False,0,False,False
272,HB 1466,103rd,lower,2023-01-26,Tony McCombie,,2,False,False,0,False,False
273,HB 867,103rd,lower,2022-12-06,Emanuel Welch,,1,False,True,0,False,False
274,HB 839,103rd,lower,2022-12-06,Emanuel Welch,,1,False,True,0,False,False
275,HB 1531,103rd,lower,2023-01-27,Mark Walker,,1,False,False,0,False,False
276,HB 1379,103rd,lower,2023-01-24,John Cabello,,1,False,True,0,False,False
277,HB 1522,103rd,lower,2023-01-27,Daniel Didech,,1,False,False,0,False,False
278,HB 844,103rd,lower,2022-12-06,Emanuel Welch,,1,False,True,0,False,False
279,HB 826,103rd,lower,2022-12-06,Emanuel Welch,,1,False,True,0,False,False
280,HB 989,103rd,lower,2022-12-06,La Ford,,9,False,False,0,False,False
281,HB 1595,103rd,lower,2023-01-31,Ann Williams,Bill Cunningham,51,True,True,3,True,True
282,HB 1692,103rd,lower,2023-02-01,Tony McCombie,,1,False,True,0,False,False
283,HB 981,103rd,lower,2022-12-06,Emanuel Welch,,1,False,True,0,False,False
284,HB 993,103rd,lower,2022-12-06,Anthony DeLuca,,1,False,False,0,False,False
285,HB 1385,103rd,lower,2023-01-24,Janet Rohr,,2,False,True,0,False,False
286,SB 256,103rd,upper,2023-01-31,Don Harmon,,1,False,True,0,False,False
287,SB 684,103rd,upper,2023-02-02,David Koehler,Jay Hoffman,2,True,True,1,True,True
288,SB 1463,103rd,upper,2023-02-07,Justin Slaughter,Robert Peters,22,True,True,0,True,True
289,SB 2261,103rd,upper,2023-02-10,Robert Peters,,1,False,True,0,False,False
290,SB 2241,103rd,upper,2023-02-10,Adriane Johnson,,5,False,True,0,False,False
291,SB 2229,103rd,upper,2023-02-10,Laura Ellman,,1,False,True,0,False,False
292,HB 2454,103rd,lower,2023-02-15,Lakesia Collins,,1,False,True,0,False,False
293,HB 2050,103rd,lower,2023-02-02,Dagmara Avelar,,2,False,False,0,False,False
294,HB 1360,103rd,lower,2023-01-23,Martin McLaughlin,,3,False,True,0,False,False
295,HB 3097,103rd,lower,2023-02-16,Christopher Belt,Terra Howard,8,True,True,0,True,True
296,HB 2661,103rd,lower,2023-02-15,Jehan Booth,,1,False,False,0,False,False
297,HB 3178,103rd,lower,2023-02-16,Tom Weber,,1,False,False,0,False,False
298,HB 2670,103rd,lower,2023-02-15,Jehan Booth,,1,False,False,0,False,False
299,HB 2660,103rd,lower,2023-02-15,Jehan Booth,,1,False,False,0,False,False
300,HB 2984,103rd,lower,2023-02-16,Blaine Wilhour,,15,False,True,0,False,False
301,HB 2975,103rd,lower,2023-02-16,Christopher Davidsmeyer,,1,False,False,0,False,False
302,HB 2957,103rd,lower,2023-02-16,Dan Caulkins,,2,False,True,0,False,False
303,HB 3393,103rd,lower,2023-02-17,Joe Sosnowski,,2,False,False,0,False,False
304,HB 2917,103rd,lower,2023-02-16,La Ford,,1,False,False,0,False,False
305,HB 3175,103rd,lower,2023-02-16,Tom Weber,,1,False,False,0,False,False
306,HB 3379,103rd,lower,2023-02-17,Justin Slaughter,,1,False,True,0,False,False
307,HB 3259,103rd,lower,2023-02-17,Kam Buckner,,2,False,True,0,False,False
308,HB 2924,103rd,lower,2023-02-16,Dennis Tipsword Jr,,1,False,True,0,False,False
309,HB 3402,103rd,lower,2023-02-17,Linda Holmes,Sharon Chung,20,True,True,1,True,True
310,HB 2934,103rd,lower,2023-02-16,Steven Reick,,1,False,False,0,False,False
311,HB 2928,103rd,lower,2023-02-16,Dennis Tipsword Jr,,1,False,True,0,False,False
312,HB 4018,103rd,lower,2023-03-15,Mary Canty,,1,False,False,0,False,False
313,HB 1234,103rd,lower,2023-01-18,Jonathan Carroll,,2,False,False,0,False,False
314,HB 2729,103rd,lower,2023-02-15,Daniel Didech,,1,False,False,0,False,False
